Feature,Importance
Debt/Assets,0.13061064945048306
RSI,0.12571228208066446
EV/FCF,0.12223151241460066
Revenue Growth (%),0.10633018367846363
PEG,0.10200979404063286
ROE (%),0.09912337491595011
EPS Growth (%),0.07932172424855136
SMA50,0.06926928411030304
P/E,0.06219554377555665
Drop from ATH (%),0.04606759430851747
Dividend Yield (%),0.019097209936606224
Beta,0.014459975101151571
Strefa_Blisko Swing High,0.01420218506983213
EMA Crossover_Bullish,0.007979797979797983
EMA Crossover_Bearish,0.0013888888888888892
SMA200,0.0
